X,T,LHS,RHS
"14","15","1.5625168e-10","3.5127968e-12"
"15","15","3.5127966e-12","3.6976803e-14"
"16","15","3.6976803e-14","0.0"
"17","15","0.0","0.0"
"18","15","0.0","0.0"
"0","16","0.0","0.20656368"
"1","16","0.20656347","0.28247222"
"2","16","0.28247237","0.2274043"
"3","16","0.22740424","0.12920278"
"4","16","0.12920275","5.5212587e-2"
"5","16","5.5212602e-2","1.8320663e-2"
"6","16","1.8320661e-2","4.806474e-3"
"7","16","4.8064743e-3","1.0070014e-3"
"8","16","1.0070013e-3","1.6917077e-4"
"9","16","1.6917076e-4","2.276352e-5"
"10","16","2.2763516e-5","2.437702e-6"
"11","16","2.4377018e-6","2.0510996e-7"
"12","16","2.0510991e-7","1.3271176e-8"
"13","16","1.3271175e-8","6.3753697e-10"
"14","16","6.375369e-10","2.1424364e-11"
"15","16","2.1424362e-11","4.496379e-13"
"16","16","4.496379e-13","4.4372164e-15"
"17","16","4.437216e-15","0.0"
"18","16","0.0","0.0"
"0","17","0.0","0.19088517"
"1","17","0.19088507","0.26675493"
"2","17","0.26675463","0.22222829"
"3","17","0.22222817","0.13210815"
"4","17","0.1321081","5.9664372e-2"
"5","17","5.966436e-2","2.1125996e-2"
"6","17","2.112599e-2","5.9722397e-3"
"7","17","5.972241e-3","1.3623985e-3"
"8","17","1.3623983e-3","2.5214156e-4"
"9","17","2.521416e-4","3.789329e-5"
"10","17","3.7893285e-5","4.6088885e-6"
"11","17","4.608888e-6","4.5000033e-7"
"12","17","4.5000024e-7","3.477579e-8"
"13","17","3.4775788e-8","2.0796398e-9"
"14","17","2.0796398e-9","9.2840895e-11"
"15","17","9.284089e-11","2.913181e-12"
"16","17","2.9131801e-12","5.7328837e-14"
"17","17","5.732883e-14","5.3246593e-16"
"18","17","5.324659e-16","0.0"
"0","18","0.0","0.1770833"
"1","18","0.17708302","0.25230742"
"2","18","0.25230765","0.21675704"
"3","18","0.21675706","0.1342293"
"4","18","0.13422921","6.373302e-2"
"5","18","6.373301e-2","2.3932146e-2"
"6","18","2.393215e-2","7.23751e-3"
"7","18","7.237508e-3","1.7823486e-3"
"8","18","1.7823485e-3","3.5966258e-4"
"9","18","3.5966252e-4","5.960895e-5"
"10","18","5.9608956e-5","8.10395e-6"
"11","18","8.10395e-6","8.9924e-7"
"12","18","8.9923986e-7","8.0679186e-8"
"13","18","8.067918e-8","5.7647616e-9"
"14","18","5.7647607e-9","3.2046546e-10"
"15","18","3.2046538e-10","1.3361804e-11"
"16","18","1.3361803e-11","3.9321546e-13"
"17","18","3.9321538e-13","7.284134e-15"
"18","18","7.2841335e-15","6.3895904e-17"
"0","19","0.0","0.16486026"
"1","19","0.16486049","0.23901442"
"2","19","0.23901463","0.21111979"
"3","19","0.21111965","0.13567309"
"4","19","0.13567314","6.741647e-2"
"5","19","6.741647e-2","2.670489e-2"
"6","19","2.6704893e-2","8.5862465e-3"
"7","19","8.586245e-3","2.266246e-3"
"8","19","2.2662454e-3","4.9437844e-4"
"9","19","4.9437844e-4","8.9434776e-5"
"10","19","8.943479e-5","1.34199845e-5"
"11","19","1.3419983e-5","1.665578e-6"
"12","19","1.6655777e-6","1.6991675e-7"
"13","19","1.6991673e-7","1.4101177e-8"
"14","19","1.41011745e-8","9.369285e-10"
"15","19","9.369283e-10","4.8658005e-11"
"16","19","4.8658005e-11","1.9031343e-12"
"17","19","1.9031341e-12","5.2729458e-14"
"18","19","5.272945e-14","9.303244e-16"
"0","20","0.0","0.15397556"
"1","20","0.15397549","0.22676848"
"2","20","0.22676826","0.2054136"
"3","20","0.2054137","0.13653587"
"4","20","0.13653591","7.0721865e-2"
"5","20","7.072188e-2","2.9416049e-2"
"6","20","2.9416047e-2","1.0002084e-2"
"7","20","1.0002083e-2","2.8120214e-3"
"8","20","2.8120214e-3","6.584092e-4"
"9","20","6.5840926e-4","1.2890625e-4"
"10","20","1.2890625e-4","2.1131233e-5"
"11","20","2.113123e-5","2.896627e-6"
"12","20","2.896627e-6","3.306982e-7"
